"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,40,0,1e-04,0.780684370458449,0.769230769230769
"2","Rectifier",0.2,40,0,1e-05,0.864202668780552,0.823931623931624
"3","Rectifier",0.2,40,0,1e-06,0.864196062888096,0.823931623931624
"4","Rectifier",0.2,40,0,1e-07,0.864169639318272,0.823931623931624
"5","Rectifier",0.2,40,0,1e-08,0.864163033425816,0.823931623931624
"6","Rectifier",0.2,40,0,1e-09,0.864169639318272,0.823931623931624
"7","Rectifier",0.2,40,0,1e-10,0.864169639318272,0.823931623931624
"8","Rectifier",0.2,40,-1,1e-04,0.697318007662835,0.676923076923077
"9","Rectifier",0.2,40,-1,1e-05,0.864163033425816,0.823931623931624
"10","Rectifier",0.2,40,-1,1e-06,0.864196062888096,0.823931623931624
"11","Rectifier",0.2,40,-1,1e-07,0.864196062888096,0.823931623931624
"12","Rectifier",0.2,40,-1,1e-08,0.864163033425816,0.823931623931624
"13","Rectifier",0.2,40,-1,1e-09,0.864169639318272,0.823931623931624
"14","Rectifier",0.2,40,-1,1e-10,0.864176245210728,0.823931623931624
"15","Rectifier",0.2,40,-2,1e-04,0.864163033425816,0.823931623931624
"16","Rectifier",0.2,40,-2,1e-05,0.864169639318272,0.823931623931624
"17","Rectifier",0.2,40,-2,1e-06,0.864176245210728,0.823931623931624
"18","Rectifier",0.2,40,-2,1e-07,0.864163033425816,0.823931623931624
"19","Rectifier",0.2,40,-2,1e-08,0.86418945699564,0.823931623931624
"20","Rectifier",0.2,40,-2,1e-09,0.864182851103184,0.823931623931624
"21","Rectifier",0.2,40,-2,1e-10,0.86415642753336,0.823931623931624
