"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,70,0,1e-04,0.864163033425816,0.823931623931624
"2","Rectifier",0,70,0,1e-05,0.864169639318272,0.823931623931624
"3","Rectifier",0,70,0,1e-06,0.864163033425816,0.823931623931624
"4","Rectifier",0,70,0,1e-07,0.864169639318272,0.823931623931624
"5","Rectifier",0,70,0,1e-08,0.864163033425816,0.823931623931624
"6","Rectifier",0,70,0,1e-09,0.864163033425816,0.823931623931624
"7","Rectifier",0,70,0,1e-10,0.864163033425816,0.823931623931624
"8","Rectifier",0,70,-1,1e-04,0.822684634694147,0.812820512820513
"9","Rectifier",0,70,-1,1e-05,0.864163033425816,0.823931623931624
"10","Rectifier",0,70,-1,1e-06,0.864163033425816,0.823931623931624
"11","Rectifier",0,70,-1,1e-07,0.864163033425816,0.823931623931624
"12","Rectifier",0,70,-1,1e-08,0.864163033425816,0.823931623931624
"13","Rectifier",0,70,-1,1e-09,0.864215880565464,0.823931623931624
"14","Rectifier",0,70,-1,1e-10,0.864163033425816,0.823931623931624
"15","Rectifier",0,70,-2,1e-04,0.864163033425816,0.823931623931624
"16","Rectifier",0,70,-2,1e-05,0.872037257233452,0.834508547008547
"17","Rectifier",0,70,-2,1e-06,0.864163033425816,0.823931623931624
"18","Rectifier",0,70,-2,1e-07,0.864163033425816,0.823931623931624
"19","Rectifier",0,70,-2,1e-08,0.864163033425816,0.823931623931624
"20","Rectifier",0,70,-2,1e-09,0.864163033425816,0.823931623931624
"21","Rectifier",0,70,-2,1e-10,0.864163033425816,0.823931623931624
